================================================
INDEX_0 IDEA REPOSITORY
================================================
================================================
IDEA REGISTRY
================================================

IDEA-001  Map System | multi scale simulation mapping | System | All Eras

Era:
Planetary Period

Tags:
impact-basin
gold
bioregion

Description:
The Aureate Impact Basins are large ancient asteroid impact
structures scattered across the desert planet.

Metal-rich asteroid impacts combined with fractured crustal
rock created unusually concentrated gold-bearing deposits
within these basins.


------------------------------------------------
IDEA-388
------------------------------------------------

Name: Escarpment Belt
Domain: Bioregion

Parent Idea:
IDEA-385 Sulker Gold Desert Planet

Era:
Planetary Period

Tags:
cliffs
desert
bioregion

Description:
The Escarpment Belt consists of long tectonic cliff systems
bordering desert basins.

Wind erosion has exposed extensive geological strata and
rock formations throughout the region.


------------------------------------------------
IDEA-389
------------------------------------------------

Name: Seasonal Salt Flats
Domain: Bioregion

Parent Idea:
IDEA-385 Sulker Gold Desert Planet

Era:
Planetary Period

Tags:
salt
desert
bioregion

Description:
Seasonal Salt Flats are evaporative desert basins where
episodic rainfall produces temporary shallow lakes that
quickly evaporate.

The process leaves extensive mineral and salt crust
surfaces.


------------------------------------------------
IDEA-390
------------------------------------------------

Name: Highland Dry Steppe
Domain: Bioregion

Parent Idea:
IDEA-385 Sulker Gold Desert Planet

Era:
Planetary Period

Tags:
steppe
plateau
bioregion

Description:
The Highland Dry Steppe consists of elevated plateau
regions with slightly cooler temperatures and sparse
vegetation compared to the surrounding deserts.

These areas support limited grazing ecosystems.


------------------------------------------------
IDEA-391
------------------------------------------------

Name: Field Horsetail
Domain: Species

Parent Idea:
Earth

Era:
All Eras

Tags:
plant
introduced
desert

Description:
Field Horsetail (Equisetum arvense) is a primitive
spore-producing vascular plant belonging to an ancient
plant lineage.

On the Sulker desert planet it grows along seasonal
runoff channels and temporary pools within the Aureate
Impact Basin.


------------------------------------------------
IDEA-392
------------------------------------------------

Name: Athel Tamarisk
Domain: Species

Parent Idea:
Earth

Era:
All Eras

Tags:
plant
tree
desert

Description:
Athel Tamarisk (Tamarix aphylla) is a drought-resistant
desert tree capable of surviving highly saline soils.

Its deep roots reach underground water reserves along
wadi systems and basin margins.


------------------------------------------------
IDEA-393
------------------------------------------------

Name: Date Palm
Domain: Species

Parent Idea:
Earth

Era:
All Eras

Tags:
plant
agriculture
desert

Description:
The Date Palm (Phoenix dactylifera) is a desert-adapted
palm tree cultivated for its edible fruit.

On the Sulker desert planet it grows in oasis
environments near groundwater pockets and human
settlements.


------------------------------------------------
IDEA-394
------------------------------------------------

Name: Gemsbok
Domain: Species

Parent Idea:
Earth

Era:
All Eras

Tags:
animal
herbivore
desert

Description:
The Gemsbok (Oryx gazella) is a large desert antelope
adapted to extreme heat and arid environments.

It functions as a large grazing herbivore within the
Sulker desert ecosystem.


------------------------------------------------
IDEA-395
------------------------------------------------

Name: Coelophysis
Domain: Species

Parent Idea:
Earth

Era:
Triassic

Tags:
animal
dinosaur
predator

Description:
Coelophysis bauri is a small carnivorous theropod dinosaur
from the Late Triassic.

Within the Sulker desert biosphere it occupies the niche
of a fast-moving desert predator.


------------------------------------------------
IDEA-396
------------------------------------------------

Name: Desert Spiny Lizard
Domain: Species

Parent Idea:
Earth

Era:
All Eras

Tags:
animal
reptile
desert

Description:
The Desert Spiny Lizard (Sceloporus magister) is a
rock-dwelling insectivorous reptile adapted to hot
desert environments.

It inhabits exposed bedrock outcrops and escarpment
regions across the Aureate Impact Basin.

------------------------------------------------
IDEA-397
------------------------------------------------

Name: Nanhai
Domain: Planet

Parent Idea:
IDEA-### [System TBD]

Era:
Planetary Period

Tags:
ocean-planet
monsoon
archipelago
maritime-trade
delta

Description:
Nanhai is an ocean-dominated planet characterized by vast tropical seas, powerful seasonal monsoon systems, and dense maritime trade networks.

Large continental river systems drain into the Nanhai Delta Sea, forming one of the most economically important maritime regions on the planet. Extensive island chains and shallow shelves create complex navigation routes that concentrate shipping along predictable corridors.

Seasonal monsoon winds determine navigation patterns across the basin. Merchant fleets travel along these wind systems between coastal cities, island ports, and regional trade hubs.

The Pao Archipelago forms the outer island belt surrounding the delta basin. Its dense network of islands, reefs, and hidden anchorages supports numerous maritime communities and has historically served as a base for pirate fleets operating throughout the region.

During the Planetary Period the planet became connected to interstellar commerce through Transfer Hansa trade infrastructure linking the regional maritime economy to interstellar cargo networks.


------------------------------------------------
IDEA-398
------------------------------------------------

Name: Nanhai Delta Sea
Domain: Location

Parent Idea:
IDEA-397 Nanhai

Era:
Planetary Period

Tags:
inland-sea
delta
maritime-trade
monsoon
shipping

Description:
The Nanhai Delta Sea is the primary maritime basin of the planet Nanhai and the central hub of its planetary trade networks.

Several massive river systems drain from the adjacent continental landmass into this shallow inland sea, forming enormous deltas, estuaries, and coastal wetlands. Numerous port cities developed along these river mouths linking inland agricultural and industrial regions with maritime trade routes.

Seasonal monsoon wind reversals determine navigation cycles across the basin. Merchant fleets typically travel with seasonal winds, concentrating shipping along predictable routes across the sea.

The basin connects to the outer oceans through the island belts of the Pao Archipelago, creating major maritime choke points where shipping traffic is concentrated and pirate activity is common.


------------------------------------------------
IDEA-399
------------------------------------------------

Name: Pao Archipelago
Domain: Location

Parent Idea:
IDEA-398 Nanhai Delta Sea

Era:
Planetary Period

Tags:
archipelago
islands
piracy
maritime
trade-routes

Description:
The Pao Archipelago forms the outer island belt surrounding the Nanhai Delta Sea on the planet Nanhai. The archipelago consists of a complex mixture of large volcanic islands, smaller inhabited islands, and extensive coral reef systems.

Deep-water channels between the larger islands allow ocean-going merchant vessels to pass between the Nanhai Delta Sea and the wider planetary oceans. At the same time, dense reefs, shoals, and narrow passages make navigation difficult for ships unfamiliar with local waters.

Numerous small island communities inhabit the archipelago, many of which developed maritime cultures centered around fishing, coastal trade, and shipbuilding.

The geography of the archipelago also provides ideal conditions for piracy. Hidden coves, sheltered lagoons, and remote anchorages have historically served as bases for pirate fleets operating throughout the Nanhai Delta Sea.


------------------------------------------------
IDEA-400
------------------------------------------------

Name: Pao Pirate Fleets
Domain: Organization

Parent Idea:
IDEA-399 Pao Archipelago

Era:
Planetary Period

Tags:
piracy
naval
maritime-raiding
archipelago
confederation

Description:
The Pao Pirate Fleets are numerous independent maritime raiding groups operating from the islands of the Pao Archipelago on the planet Nanhai.

Most fleets are small organizations controlling only a handful of vessels and operating from individual island communities or hidden anchorages. These pirate groups typically target merchant ships traveling along the seasonal monsoon trade routes of the Nanhai Delta Sea.

Under normal circumstances pirate fleets operate independently and frequently compete with each other for territory and influence.

During periods of major conflict or when confronting powerful naval forces, multiple fleets may temporarily unite into larger pirate confederations. These alliances coordinate raids, share intelligence about merchant shipping, and organize larger naval forces capable of challenging merchant convoys or coastal states.


------------------------------------------------
IDEA-401
------------------------------------------------

Name: Transfer Hansa
Domain: Organization

Parent Idea:
IDEA-229 Keggel Class Hansa Bulk Carrier

Era:
Planetary Period

Tags:
trade
interstellar-logistics
shipping-network
hansa

Description:
The Transfer Hansa is a large interstellar trade network responsible for transporting bulk cargo between inhabited star systems.

Rather than operating planetary economies directly, the organization specializes in long-distance logistics, moving standardized cargo between designated transfer ports across multiple systems.

Cargo is typically transported in large containerized shipments carried by specialized freighters such as the Keggel Class Hansa Bulk Carrier.

Because interstellar voyages operate on long cycles, planetary economies accumulate goods over extended periods before the arrival of scheduled Hansa vessels. The Transfer Hansa therefore functions as the long-distance freight backbone connecting planetary trade systems.


------------------------------------------------
IDEA-402
------------------------------------------------

Name: Transfer Hansa Port
Domain: Infrastructure

Parent Idea:
IDEA-401 Transfer Hansa

Era:
Planetary Period

Tags:
trade
logistics
interstellar-port
cargo

Description:
Transfer Hansa Ports are planetary logistics centers where cargo from regional economies is accumulated and prepared for interstellar transport.

Because interstellar freighters arrive infrequently, these ports contain extensive warehouse districts capable of storing large quantities of goods awaiting transport.

Cargo from planetary trade networks is gathered at these ports and exchanged when an interstellar freighter arrives, linking regional economies to the wider interstellar logistics network.


------------------------------------------------
IDEA-403
------------------------------------------------

Name: Nested Market System
Domain: Economic System

Parent Idea:
IDEA-401 Transfer Hansa

Era:
Planetary Period

Tags:
economy
markets
trade
logistics

Description:
The Nested Market System is an economic structure representing trade relationships between markets at different scales.

Markets can become members of other markets, forming hierarchical or networked economic structures. When a market joins another market it may either export goods to that market or import goods from it.

Independent actors known as merchants can also purchase goods from one market and transport them to another market that may not be formally connected within the network.

Because merchants operate outside formal market membership structures, they can create opportunistic trade routes between otherwise disconnected regions, allowing trade to emerge across political boundaries, pirate territories, or geographically isolated markets.


------------------------------------------------
IDEA-404
------------------------------------------------

Name: Gateway Strait Merchant Republic
Domain: Organization

Parent Idea:
IDEA-398 Nanhai Delta Sea

Era:
Planetary Period

Tags:
merchant-republic
charter-company
maritime-trade
fortified-port

Description:
The Gateway Strait Merchant Republic is a fortified trading state controlling one of the major straits connecting the Nanhai Delta Sea to the outer oceans.

Originally established as an off-world commercial enclave during early interstellar trade, the port eventually evolved into an autonomous chartered corporate republic governed by powerful merchant houses.

The republic maintains strong coastal defenses and naval patrol fleets monitoring maritime traffic entering the delta basin.

Its strategic position allows it to tax or regulate ships traveling between the outer oceans and the Nanhai Delta Sea, making it one of the most influential commercial gateways on the planet.


------------------------------------------------
IDEA-405
------------------------------------------------

Name: River Delta Trade Republic
Domain: Organization

Parent Idea:
IDEA-398 Nanhai Delta Sea

Era:
Planetary Period

Tags:
merchant-republic
river-trade
delta-city
trade-oligarchy

Description:
The River Delta Trade Republic is a major merchant state located at the mouth of one of the great rivers flowing into the Nanhai Delta Sea.

The city functions as a large distribution hub linking inland agricultural and industrial regions to maritime trade routes.

Although the republic is formally governed by a merchant council, real power lies with powerful river barons controlling upstream transport routes and production centers.

Pirate fleets operating in the open sea are tolerated as long as they avoid raiding ships within the protected river and delta waters.


------------------------------------------------
IDEA-406
------------------------------------------------

Name: Ironclad Shipyard Republic
Domain: Organization

Parent Idea:
IDEA-398 Nanhai Delta Sea

Era:
Planetary Period

Tags:
merchant-republic
shipbuilding
naval-industry
ironclads

Description:
The Ironclad Shipyard Republic is a small but technologically advanced maritime state located on an island near the entrance to the Nanhai Delta Sea.

The republic developed around large dockyards and metalworking industries specializing in naval engineering and armored ship construction.

During the Planetary Period it pioneered the development of early ironclad warships in the Nanhai region.

The government is controlled by a philanthropic oligarchy of shipyard owners and industrial investors. While the state navy uses ironclads to defend trade routes, some oligarch families secretly supply vessels and repairs to pirate fleets operating in the Pao Archipelago.


------------------------------------------------
IDEA-407
------------------------------------------------

Name: Ching Shih
Domain: Historical Figure

Parent Idea:
IDEA-405 South China Sea Pirate Confederation

Era:
All Eras

Tags:
piracy
naval
china
history

Description:
Ching Shih was one of the most powerful pirate leaders in history and a central figure in the South China Sea Pirate Confederation. Rising from a background connected to maritime commerce and piracy, she eventually commanded a vast fleet operating throughout the South China Sea.

Under her leadership the confederation developed a strict internal code governing discipline, the distribution of loot, and the treatment of prisoners. Her fleet successfully challenged regional naval forces and controlled major maritime trade routes.

Ching Shih remains one of the most successful pirate leaders recorded in maritime history and serves as a reference point for large-scale pirate confederations.


------------------------------------------------
IDEA-408
------------------------------------------------

Name: Macao
Domain: Location

Parent Idea:
Earth

Era:
All Eras

Tags:
port
trade
china
merchant-city

Description:
Macao is a historic port city located on the southern coast of China at the mouth of the Pearl River Delta. It developed as a major maritime trading hub connecting Chinese markets with international commerce.

The city historically functioned as a foreign trading enclave and later evolved into a semi-autonomous commercial port dominated by merchant activity and maritime trade.

Because of its strategic location at the gateway to major river and maritime trade routes, Macao became one of the most important exchange points between regional and international commerce.


------------------------------------------------
IDEA-409
------------------------------------------------

Name: South China Sea Trade Network
Domain: Historical Reference

Parent Idea:
Earth

Era:
All Eras

Tags:
trade
maritime
china
history

Description:
The South China Sea Trade Network refers to the extensive maritime commerce system linking coastal China, Southeast Asia, and surrounding regions.

Trade routes across the South China Sea connected numerous port cities, island communities, and inland river systems. Seasonal monsoon winds strongly influenced navigation patterns and shipping cycles throughout the region.

The dense maritime trade network supported major port cities, merchant communities, and maritime cultures while also creating opportunities for piracy and naval conflict.


------------------------------------------------
IDEA-410
------------------------------------------------

Name: Pearl River Delta
Domain: Location

Parent Idea:
Earth

Era:
All Eras

Tags:
delta
river
china
trade

Description:
The Pearl River Delta is a large river delta located on the southern coast of China where multiple river systems flow into the South China Sea.

The region developed into one of the most economically active maritime zones in the world, combining inland river transport with coastal and international trade routes.

Its complex network of waterways, ports, and trading settlements made the region a central hub of maritime commerce in East Asia.



------------------------------------------------
IDEA-411
------------------------------------------------

Name: Saab 29 Tunnan
Domain: Vehicle

Parent Idea:
Earth

Era:
Cold War

Tags:
aircraft
fighter
sweden
jet

Description:
The Saab 29 Tunnan was an early Swedish jet fighter introduced in the early Cold War period.

It was one of the first European aircraft with a swept wing design and represented Sweden’s transition from piston aircraft to modern jet-powered fighters.

The aircraft served primarily as an interceptor within the Swedish Air Force and formed the backbone of Swedish air defense during the early jet age.


------------------------------------------------
IDEA-412
------------------------------------------------

Name: Saab 32 Lansen
Domain: Vehicle

Parent Idea:
Earth

Era:
Cold War

Tags:
aircraft
attack
sweden
jet

Description:
The Saab 32 Lansen was a Swedish jet-powered attack and reconnaissance aircraft developed during the Cold War.

Designed as a multi-role combat aircraft, it served in strike, reconnaissance, and later electronic warfare roles within the Swedish Air Force.

The aircraft represented an important transitional generation between early jet fighters and later supersonic Swedish aircraft.


------------------------------------------------
IDEA-413
------------------------------------------------

Name: Saab 35 Draken
Domain: Vehicle

Parent Idea:
Earth

Era:
Cold War

Tags:
aircraft
fighter
interceptor
sweden

Description:
The Saab 35 Draken was a supersonic interceptor aircraft developed by Sweden during the Cold War to defend national airspace.

The aircraft introduced a distinctive double-delta wing configuration which allowed stable supersonic performance while retaining acceptable low-speed handling.

The Draken formed a key component of Swedish air defense during the 1960s and 1970s.


------------------------------------------------
IDEA-414
------------------------------------------------

Name: Saab 37 Viggen
Domain: Vehicle

Parent Idea:
Earth

Era:
Cold War

Tags:
aircraft
fighter
multirole
sweden

Description:
The Saab 37 Viggen was a Swedish multirole combat aircraft developed during the Cold War.

The aircraft used a canard-delta wing configuration and advanced avionics systems and was designed to operate from Sweden’s dispersed road-base airfield network.

A unique thrust reverser allowed the aircraft to land on short runways and highway strips.


------------------------------------------------
IDEA-415
------------------------------------------------

Name: Saab AB
Domain: Organization

Parent Idea:
Earth

Era:
All Eras

Tags:
company
aerospace
sweden
defense

Description:
Saab AB is a Swedish aerospace and defense company responsible for the development of many Swedish military aircraft and defense technologies.

During the Cold War the company produced several generations of indigenous jet fighters and strike aircraft designed specifically for Sweden’s national defense doctrine.


------------------------------------------------
IDEA-416
------------------------------------------------

Name: Swedish Air Force (Flygvapnet)
Domain: Organization

Parent Idea:
Earth

Era:
All Eras

Tags:
military
airforce
sweden

Description:
The Swedish Air Force, known as Flygvapnet, is the aerial warfare branch of the Swedish Armed Forces.

During the Cold War it developed a distinctive doctrine emphasizing dispersed airbases, rapid aircraft turnaround, and domestically produced combat aircraft.


------------------------------------------------
IDEA-417
------------------------------------------------

Name: Air-to-Air Missiles
Domain: Technology

Parent Idea:
Earth

Era:
Cold War

Tags:
missile
aircombat
weapon

Description:
Air-to-air missiles are guided weapons launched from aircraft against other aircraft.

Developed during the Cold War, these missiles allowed fighters to engage enemy aircraft beyond visual range using infrared or radar guidance systems.


------------------------------------------------
IDEA-418
------------------------------------------------

Name: Variable Geometry Wing
Domain: Technology

Parent Idea:
Earth

Era:
Cold War

Tags:
aircraft
wing
aerodynamics

Description:
A variable geometry wing, also known as a swing wing, is an aircraft wing design that can change its sweep angle during flight.

This allows an aircraft to optimize aerodynamic performance for both low-speed operations and high-speed supersonic flight.


------------------------------------------------
IDEA-419
------------------------------------------------

Name: General Dynamics F-111 Aardvark
Domain: Vehicle

Parent Idea:
Earth

Era:
Cold War

Tags:
aircraft
strike
usa

Description:
The F-111 Aardvark was a long-range strike aircraft developed in the United States during the Cold War.

It introduced technologies such as variable geometry wings and terrain-following radar, allowing high-speed low-level penetration missions.


------------------------------------------------
IDEA-420
------------------------------------------------

Name: Grumman F-14 Tomcat
Domain: Vehicle

Parent Idea:
Earth

Era:
Cold War

Tags:
aircraft
fighter
naval

Description:
The F-14 Tomcat was a carrier-based interceptor developed for the United States Navy.

The aircraft used variable geometry wings and powerful radar systems to intercept long-range bomber threats.


------------------------------------------------
IDEA-421
------------------------------------------------

Name: Panavia Tornado
Domain: Vehicle

Parent Idea:
Earth

Era:
Cold War

Tags:
aircraft
strike
europe

Description:
The Panavia Tornado was a multirole combat aircraft developed through a collaboration between the United Kingdom, Germany, and Italy.

The aircraft featured variable geometry wings and was optimized for low-level high-speed strike missions.


------------------------------------------------
IDEA-422
------------------------------------------------

Name: Lift Engines
Domain: Technology

Parent Idea:
Earth

Era:
Cold War

Tags:
vtol
engine
aircraft

Description:
Lift engines are dedicated vertical thrust engines used in some vertical takeoff aircraft.

They provide upward thrust during takeoff and landing while a separate propulsion engine provides forward flight.


------------------------------------------------
IDEA-423
------------------------------------------------

Name: Yakovlev Yak-38
Domain: Vehicle

Parent Idea:
Earth

Era:
Cold War

Tags:
aircraft
vtol
soviet

Description:
The Yak-38 was a Soviet VTOL strike aircraft designed for operation from small aircraft carriers.

The aircraft used a hybrid propulsion system consisting of a main engine and additional lift engines for vertical takeoff.


------------------------------------------------
IDEA-424
------------------------------------------------

Name: Thrust Vectoring Nozzle
Domain: Technology

Parent Idea:
Earth

Era:
Cold War

Tags:
propulsion
aircraft

Description:
A thrust vectoring nozzle allows the direction of engine exhaust to be controlled.

By redirecting thrust, the system can improve maneuverability or provide vertical lift in certain aircraft designs.


------------------------------------------------
IDEA-425
------------------------------------------------

Name: Terrain-Following Radar
Domain: Technology

Parent Idea:
Earth

Era:
Cold War

Tags:
radar
navigation
aircraft

Description:
Terrain-following radar is a navigation system that allows an aircraft to automatically maintain a low altitude above the terrain.

The system enabled high-speed low-level flight designed to avoid enemy radar detection.


------------------------------------------------
IDEA-426
------------------------------------------------

Name: Eurofighter Typhoon
Domain: Vehicle

Parent Idea:
Earth

Era:
Modern Era

Tags:
aircraft
fighter
europe

Description:
The Eurofighter Typhoon is a multirole fighter aircraft developed through a collaboration between several European nations.

The aircraft features a canard-delta configuration, advanced avionics, and high maneuverability for both air-to-air and strike missions.


------------------------------------------------
IDEA-427
------------------------------------------------

Name: Cold War Aircraft Navigator
Domain: Role

Parent Idea:
Earth

Era:
Cold War

Tags:
aviation
crew
military

Description:
The aircraft navigator was a specialized crew member responsible for navigation, radar operation, and mission management in multi-crew aircraft such as bombers and strike aircraft.

Navigators were especially important in long-range or low-level strike missions.


------------------------------------------------
IDEA-428
------------------------------------------------

Name: Test Pilot
Domain: Role

Parent Idea:
Earth

Era:
All Eras

Tags:
aviation
testing

Description:
A test pilot is an aviator responsible for flying experimental or newly developed aircraft during evaluation and development.

Test pilots assess aircraft performance, handling characteristics, and operational limits.


------------------------------------------------
IDEA-429
------------------------------------------------

Name: Flight Testing
Domain: Technology

Parent Idea:
Earth

Era:
All Eras

Tags:
engineering
aviation

Description:
Flight testing is the engineering process used to evaluate aircraft performance and safety through controlled test flights.

The process allows engineers to validate aircraft systems, measure performance, and refine aircraft design.


------------------------------------------------
IDEA-430
------------------------------------------------

Name: Doppler Radar
Domain: Technology

Parent Idea:
Radar Systems

Era:
Modern Period

Tags:
radar
sensor
velocity
navigation

Description:
A radar system that measures motion relative to the sensor by detecting frequency shifts in reflected radio waves.

Doppler radar allows measurement of target velocity and is widely used in aviation navigation, meteorology, and vehicle motion sensing.


------------------------------------------------
IDEA-431
------------------------------------------------

Name: RF Power Amplifier
Domain: Component

Parent Idea:
Doppler Radar

Era:
Modern Period

Tags:
electronics
radar

Description:
Electronic amplifier used to increase the power of a radio-frequency signal before transmission.


------------------------------------------------
IDEA-432
------------------------------------------------

Name: Frequency Stabilized Oscillator
Domain: Component

Parent Idea:
Doppler Radar

Era:
Modern Period

Tags:
electronics
oscillator

Description:
Precision oscillator generating a stable reference frequency used by radar transmitters.


------------------------------------------------
IDEA-433
------------------------------------------------

Name: Radar Waveguide System
Domain: Component

Parent Idea:
Doppler Radar

Era:
Modern Period

Tags:
radar
rf

Description:
Waveguide structures directing microwave signals between radar transmitter, receiver, and antenna.


------------------------------------------------
IDEA-434
------------------------------------------------

Name: Radar Cooling System
Domain: Component

Parent Idea:
Doppler Radar

Era:
Modern Period

Tags:
thermal
electronics

Description:
Thermal management system removing heat from radar electronics and transmitters.


------------------------------------------------
IDEA-435
------------------------------------------------

Name: Microwave Magnetron
Domain: Component

Parent Idea:
RF Power Amplifier

Era:
Modern Period

Tags:
electronics
microwave

Description:
Vacuum tube device generating high-power microwave radiation used in early radar transmitters.


------------------------------------------------
IDEA-436
------------------------------------------------

Name: Solid State Radar Transmitter
Domain: Component

Parent Idea:
RF Power Amplifier

Era:
Modern Period

Tags:
electronics
semiconductor

Description:
Semiconductor-based microwave transmitter used in modern radar systems.


------------------------------------------------
IDEA-437
------------------------------------------------

Name: Radar Phase Detector
Domain: Component

Parent Idea:
Doppler Radar

Era:
Modern Period

Tags:
electronics
signal

Description:
Electronic circuit measuring phase differences between transmitted and received radar signals to determine Doppler shift.


------------------------------------------------
IDEA-438
------------------------------------------------

Name: Radar Signal Filter Bank
Domain: Component

Parent Idea:
Doppler Radar

Era:
Modern Period

Tags:
electronics
signal

Description:
Set of frequency filters isolating Doppler signals from background noise in radar returns.


------------------------------------------------
IDEA-439
------------------------------------------------

Name: Radar Timing Controller
Domain: Component

Parent Idea:
Doppler Radar

Era:
Modern Period

Tags:
electronics
control

Description:
Electronic timing system synchronizing radar pulse emission, reception windows, and processing cycles.


------------------------------------------------
IDEA-440
------------------------------------------------

Name: Light Emitting Diode
Domain: Technology

Parent Idea:
Semiconductor Electronics

Era:
Modern Period

Tags:
electronics
lighting
semiconductor

Description:
Semiconductor device that emits light when electrical current passes through a p–n junction, producing photons through electroluminescence.


------------------------------------------------
IDEA-441
------------------------------------------------

Name: Semiconductor Junction
Domain: Component

Parent Idea:
Light Emitting Diode

Era:
Modern Period

Tags:
semiconductor
electronics

Description:
Interface between semiconductor regions where charge recombination produces electrical or optical effects.


------------------------------------------------
IDEA-442
------------------------------------------------

Name: Current Driver Circuit
Domain: Component

Parent Idea:
Light Emitting Diode

Era:
Modern Period

Tags:
electronics
control

Description:
Electronic circuit regulating the electrical current supplied to semiconductor devices.


------------------------------------------------
IDEA-443
------------------------------------------------

Name: Optical Emission Lens
Domain: Component

Parent Idea:
Light Emitting Diode

Era:
Modern Period

Tags:
optics
lighting

Description:
Optical element shaping and directing light emitted from a source.


------------------------------------------------
IDEA-444
------------------------------------------------

Name: Thermal Dissipation Module
Domain: Component

Parent Idea:
Light Emitting Diode

Era:
Modern Period

Tags:
thermal
electronics

Description:
Component designed to transfer heat away from electronic or optical devices.


------------------------------------------------
IDEA-445
------------------------------------------------

Name: Electronic Device Package
Domain: Component

Parent Idea:
Light Emitting Diode

Era:
Modern Period

Tags:
electronics
housing

Description:
Protective enclosure containing semiconductor devices and providing electrical contact interfaces.


------------------------------------------------
IDEA-446
------------------------------------------------

Name: Integrated Circuit
Domain: Technology

Parent Idea:
Semiconductor Electronics

Era:
Modern Period

Tags:
electronics
semiconductor
microelectronics

Description:
Electronic circuit in which transistors and interconnects are fabricated on a single semiconductor substrate.


------------------------------------------------
IDEA-447
------------------------------------------------

Name: Semiconductor Substrate
Domain: Component

Parent Idea:
Integrated Circuit

Era:
Modern Period

Tags:
semiconductor

Description:
Base material on which semiconductor devices and circuit structures are fabricated.


------------------------------------------------
IDEA-448
------------------------------------------------

Name: Transistor Switching Element
Domain: Component

Parent Idea:
Integrated Circuit

Era:
Modern Period

Tags:
electronics
semiconductor

Description:
Semiconductor device functioning as a controllable switch or amplifier within electronic circuits.


------------------------------------------------
IDEA-449
------------------------------------------------

Name: Circuit Interconnect Network
Domain: Component

Parent Idea:
Integrated Circuit

Era:
Modern Period

Tags:
electronics
circuit

Description:
Conductive pathways connecting electronic components inside an integrated circuit.


------------------------------------------------
IDEA-450
------------------------------------------------

Name: Integrated Circuit Package
Domain: Component

Parent Idea:
Integrated Circuit

Era:
Modern Period

Tags:
electronics
housing

Description:
Protective package enclosing a semiconductor chip and providing external electrical connections.


------------------------------------------------
IDEA-451
------------------------------------------------

Name: Signal Control Logic
Domain: Component

Parent Idea:
Integrated Circuit

Era:
Modern Period

Tags:
electronics
logic

Description:
Circuit structures responsible for controlling logical operations and signal flow within electronic systems.

------------------------------------------------
IDEA-452
------------------------------------------------

Name: Central Asian Steppe CoG Site

Domain:
Location

Parent Idea:
Earth

Era:
GGO Hegemony Period

Tags:
earth
steppe
megastructure
cog

Description:
The Core Governance (CoG) megastructure is located in the Central Asian steppes. The region was selected due to its vast open land area, relatively low population density prior to construction, and suitable geological conditions for supporting extremely large structural foundations.

Construction of the CoG began shortly before the First Contraction Event around the year 3000 and was completed around 3080. The megastructure later expanded through additional outer rings, eventually reaching a diameter of roughly 350 km.

The location also hosts large segments of the infrastructure systems supporting the CoG, including logistics links to the GGO Agricultural Machine and external industrial production zones.


------------------------------------------------
IDEA-453
------------------------------------------------

Name: CoG Leveling Access Structure

Domain:
Cultural Aspect

Parent Idea:
GGO CoG - Center of Gravity

Era:
GGO Hegemony Period

Tags:
cog
society
mobility
access

Description:
The CoG Leveling Access Structure refers to the regulated system controlling movement between the concentric rings of the Center of Gravity megastructure.

Passage between rings occurs through controlled gates located in the CoG Infrastructure Belts separating the rings. Access permissions determine which rings residents may enter or reside in.

Over time this system developed into a central element of CoG society, influencing residence rights, employment opportunities, and social status.

Movement toward the inner rings is commonly interpreted as upward progression within the social hierarchy of the megastructure.


------------------------------------------------
IDEA-454
------------------------------------------------

Name: CoG Commodity Quarters

Domain:
Economic System

Parent Idea:
GGO CoG - Center of Gravity

Era:
GGO Hegemony Period

Tags:
cog
production
craft
consumer-goods
culture

Description:
The CoG Commodity Quarters are a network of numbered production districts within the Center of Gravity megastructure responsible for producing a wide range of high-level consumer goods for the population.

The earliest Commodity Quarters were primarily located in CoG Ring 3 and CoG Ring 4 of the original megacity.

Examples of products include specialty foods such as fine breads, ornamental animals such as aquarium fish, hobby equipment, consumer electronics, decorative goods, and other lifestyle commodities.

As the CoG expanded outward and new habitation rings were constructed, additional Commodity Quarters were established in the CoG Outer Wall districts and later expansion rings.

The quarters also function as social environments where residents pursue craftsmanship and specialized personal production activities.


------------------------------------------------
IDEA-455
------------------------------------------------

Name: GGO Apparent Independent Production

Domain:
Economic System

Parent Idea:
GGO Hegemony

Era:
GGO Hegemony Period

Tags:
economy
consumer-goods
branding
propaganda

Description:
